#danRer7.ensGene.name	danRer7.ensGene.chrom	danRer7.ensGene.strand	danRer7.ensGene.txStart	danRer7.ensGene.txEnd	danRer7.ensGene.cdsStart	danRer7.ensGene.cdsEnd	danRer7.ensGene.exonCount	danRer7.ensGene.exonStarts	danRer7.ensGene.exonEnds	danRer7.ensGene.name2	danRer7.ensemblToGeneName.value	danRer7.geneSymbol
ENSDART00000145299	chr5	+	46465015	46537281	46519324	46537281	3	46465015,46519232,46536756,	46465073,46519361,46537281,	ENSDARG00000060102	kank1	kank1
ENSDART00000136521	chr5	+	46465015	46558627	46519324	46556975	13	46465015,46477094,46519232,46536756,46545833,46547449,46548562,46550202,46552792,46553685,46554175,46554465,46556834,	46465073,46477253,46519361,46539399,46545986,46547546,46548748,46550290,46553012,46553828,46554376,46554564,46558627,	ENSDARG00000060102	kank1	kank1
ENSDART00000145624	chr5	+	46514877	46537310	46537310	46537310	2	46514877,46536756,	46514936,46537310,	ENSDARG00000060102	kank1	kank1
ENSDART00000041412	chr5	+	46757515	46902718	46759510	46901485	34	46757515,46759495,46797164,46801801,46806785,46811069,46813216,46818115,46822601,46823392,46825088,46825284,46828166,46828452,46837222,46837891,46838672,46838864,46842540,46842894,46845419,46845605,46848910,46849122,46849446,46854168,46859502,46859751,46880316,46887516,46887935,46890533,46892973,46901449,	46757611,46759735,46797294,46802134,46806884,46811337,46813343,46818289,46822775,46823563,46825139,46825415,46828224,46828553,46837370,46838055,46838739,46838975,46842783,46843008,46845527,46845692,46848957,46849289,46849610,46854396,46859580,46859970,46880534,46887622,46888037,46890654,46893110,46902718,	ENSDARG00000008904	smarca2	smarca2
ENSDART00000136002	chr5	+	46757565	46801956	46759510	46801956	4	46757565,46759495,46797164,46801801,	46757703,46759735,46797294,46801956,	ENSDARG00000008904	smarca2	smarca2
ENSDART00000113738	chr5	+	46757777	46806873	46759510	46806873	5	46757777,46759495,46797164,46801801,46806785,	46757809,46759735,46797294,46802134,46806873,	ENSDARG00000008904	smarca2	smarca2
ENSDART00000084411	chr5	+	46941598	47157384	46941598	47157384	23	46941598,46943345,46944182,46979846,47005723,47012896,47028834,47038873,47059322,47061719,47067027,47073145,47073343,47075471,47081814,47085464,47102229,47113595,47125050,47127500,47151927,47154121,47157211,	46941640,46943378,46944605,46980003,47005741,47013084,47028918,47039030,47059428,47061863,47067160,47073259,47073489,47075647,47081948,47085588,47102310,47113759,47125207,47127633,47152135,47154239,47157384,	ENSDARG00000060127	adamts3	adamts3
ENSDART00000041503	chr5	-	47358534	47487956	47362282	47487947	26	47358534,47362246,47362959,47365876,47368678,47373803,47373962,47378067,47380812,47382644,47382961,47384808,47392918,47397370,47402018,47403245,47405956,47408396,47408624,47417106,47422414,47425877,47429995,47463719,47481030,47487930,	47359958,47362326,47363053,47366041,47368852,47373872,47374035,47378246,47380974,47382758,47383147,47384882,47393190,47397504,47402193,47403359,47406111,47408484,47408782,47417183,47422594,47426038,47430131,47463893,47481104,47487956,	ENSDARG00000013730	slc4a4a	slc4a4a
ENSDART00000138055	chr5	+	47688953	47803936	47689046	47803880	38	47688953,47702887,47722018,47725726,47731937,47738801,47743545,47743754,47745370,47745804,47746047,47749432,47749679,47754922,47757901,47765018,47767735,47772814,47773046,47776263,47776439,47776602,47776759,47779149,47780767,47781275,47783650,47784028,47785649,47789183,47792428,47793922,47795204,47795373,47796604,47802948,47803506,47803766,	47689128,47702987,47722175,47725804,47732014,47738869,47743659,47743933,47745458,47745962,47746135,47749593,47749846,47755047,47758065,47765109,47767903,47772957,47773217,47776347,47776511,47776672,47776968,47779302,47780931,47781500,47783791,47784113,47785882,47789316,47792531,47794064,47795292,47795586,47796765,47803113,47803615,47803936,	ENSDARG00000060010	iqgap2	iqgap2
ENSDART00000084069	chr5	+	47702886	47796769	47702886	47796769	34	47702886,47722018,47725726,47731937,47738801,47743545,47743754,47745370,47745804,47746047,47749432,47749679,47754922,47757901,47765018,47767735,47772814,47773046,47776263,47776439,47776602,47776759,47779149,47780764,47781275,47783650,47784028,47785649,47789183,47792428,47793922,47795204,47795373,47796604,	47702987,47722175,47725804,47732014,47738869,47743659,47743933,47745458,47745962,47746135,47749593,47749846,47755047,47758065,47765109,47767903,47772957,47773217,47776347,47776511,47776672,47776968,47779302,47780931,47781500,47783791,47784113,47785882,47789316,47792531,47794064,47795292,47795586,47796769,	ENSDARG00000060010	iqgap2	iqgap2
ENSDART00000080033	chr5	-	47818123	47885045	47818123	47885009	17	47818123,47818240,47818448,47818604,47820135,47821612,47821769,47821895,47822989,47823148,47825647,47825816,47829868,47851006,47853233,47862696,47884956,	47818153,47818339,47818477,47818683,47820203,47821667,47821805,47821944,47823057,47823216,47825708,47825876,47829946,47851091,47853295,47862769,47885045,	ENSDARG00000057395	SSBP2 (2 of 2)	SSBP2 (2 of 2)
ENSDART00000122966	chr5	-	48101728	48116803	48105481	48116645	4	48101728,48105853,48107605,48116581,	48105771,48106180,48107935,48116803,	ENSDARG00000089769	hapln1a	hapln1a
ENSDART00000133240	chr5	-	48273389	48507648	48273389	48507648	9	48273389,48296900,48335873,48338657,48342214,48376237,48419573,48479983,48507624,	48273539,48297056,48336058,48338802,48342370,48376419,48419687,48480112,48507648,	ENSDARG00000093413	edil3	edil3
ENSDART00000139824	chr5	+	49645426	49743469	49645943	49742665	25	49645426,49696709,49700768,49702431,49707090,49707320,49709156,49709708,49714874,49715040,49718052,49718413,49720755,49721181,49724577,49728931,49731054,49732736,49733545,49736307,49736481,49738610,49738780,49738945,49742581,	49646320,49696862,49700904,49702502,49707208,49707352,49709209,49709859,49714953,49715164,49718209,49718501,49720836,49721339,49724654,49729104,49731214,49732879,49733661,49736394,49736549,49738699,49738858,49739080,49743469,	ENSDARG00000035535	rasa1a	rasa1a
ENSDART00000051518	chr5	+	49646057	49751679	49646057	49750317	26	49646057,49696709,49700768,49702431,49707090,49707320,49709156,49709708,49714874,49715040,49718052,49718413,49720755,49721181,49724577,49728931,49731054,49732736,49733545,49736307,49736481,49738610,49738780,49738945,49742581,49750268,	49646320,49696862,49700904,49702502,49707208,49707352,49709209,49709859,49714953,49715164,49718209,49718501,49720836,49721339,49724654,49729104,49731214,49732879,49733661,49736394,49736549,49738699,49738858,49739080,49742661,49751679,	ENSDARG00000035535	rasa1a	rasa1a
ENSDART00000149316	chr5	+	49665109	49700903	49665376	49700903	3	49665109,49696709,49700768,	49665399,49696862,49700903,	ENSDARG00000035535	rasa1a	rasa1a
ENSDART00000144252	chr5	-	49892945	49955486	49955486	49955486	4	49892945,49903848,49937206,49955199,	49893253,49903894,49937276,49955486,	ENSDARG00000095715	si:ch211-202e12.3	si:ch211-202e12.3
ENSDART00000153239	chr5	-	49892947	49958038	49958038	49958038	4	49892947,49903848,49937206,49957692,	49893253,49903894,49937276,49958038,	ENSDARG00000095715	si:ch211-202e12.3	si:ch211-202e12.3
ENSDART00000140395	chr5	-	49892947	49958412	49958412	49958412	4	49892947,49903848,49937206,49958014,	49893253,49903894,49937276,49958412,	ENSDARG00000095715	si:ch211-202e12.3	si:ch211-202e12.3
ENSDART00000141802	chr5	-	49893066	49958068	49958068	49958068	5	49893066,49903848,49909661,49937202,49957692,	49893253,49903894,49909759,49937276,49958068,	ENSDARG00000095715	si:ch211-202e12.3	si:ch211-202e12.3
ENSDART00000031194	chr5	-	50455343	50463371	50455949	50462371	3	50455343,50462107,50463201,	50456603,50462377,50463371,	ENSDARG00000024693	lysmd3	lysmd3
ENSDART00000008043	chr5	+	50466237	50722918	50500039	50722664	90	50466237,50500037,50504590,50510950,50512477,50512673,50514401,50518430,50523550,50525574,50526248,50531307,50532657,50533521,50533779,50534035,50535930,50537769,50538756,50541289,50547427,50552587,50555970,50556226,50557751,50558051,50559257,50561875,50562613,50563752,50565653,50565977,50567991,50570399,50572140,50572376,50574582,50576958,50577254,50578466,50578650,50579195,50580873,50583397,50584386,50584591,50585734,50586293,50586469,50586850,50589086,50589404,50591497,50591947,50592438,50593926,50595254,50596849,50598967,50599258,50599751,50599998,50602395,50605466,50605792,50606372,50607898,50608396,50608706,50610399,50612365,50613213,50615335,50615562,50617899,50618134,50618406,50621114,50624303,50624582,50625074,50629017,50629294,50671033,50676554,50682463,50701288,50711903,50718694,50722545,	50466558,50500225,50504740,50511046,50512582,50512787,50514964,50518701,50523880,50525751,50526472,50531434,50532843,50533702,50533943,50534159,50536191,50537896,50538974,50542030,50547801,50552764,50556151,50556420,50557872,50558135,50559397,50562485,50562829,50563968,50565898,50566159,50568800,50570609,50572271,50572476,50574762,50577122,50577342,50578545,50578789,50579337,50581139,50583573,50584514,50584761,50585881,50586374,50586734,50586973,50589309,50589609,50591644,50592203,50592641,50594103,50595437,50597029,50599132,50599379,50599875,50600137,50602581,50605702,50605941,50606571,50608118,50608633,50608856,50610876,50612509,50613385,50615471,50616401,50618017,50618306,50618649,50621522,50624488,50624835,50625220,50629178,50629395,50671150,50676733,50682621,50701410,50712092,50718869,50722918,	ENSDARG00000021137	gpr98	gpr98
ENSDART00000135954	chr5	-	51551013	51733897	51552721	51733897	5	51551013,51630366,51648861,51702531,51733681,	51552870,51630451,51648978,51702651,51733897,	ENSDARG00000052697	fam172a	fam172a
ENSDART00000074599	chr5	-	51630355	51821548	51630355	51821548	6	51630355,51648861,51702531,51733681,51818579,51821479,	51630451,51648978,51702651,51733897,51818771,51821548,	ENSDARG00000052697	fam172a	fam172a
ENSDART00000113985	chr5	-	52128339	52387803	52132330	52387803	21	52128339,52151335,52151765,52159177,52188280,52206154,52224857,52230085,52230434,52232243,52234456,52242522,52262828,52268434,52268666,52276703,52280439,52282054,52282991,52322200,52387761,	52132402,52151433,52151875,52159287,52188337,52206274,52224977,52230160,52230536,52232346,52234559,52242616,52263015,52268565,52268831,52276742,52280551,52282134,52283134,52322318,52387803,	ENSDARG00000076404	MCTP1 (2 of 2)	MCTP1 (2 of 2)
ENSDART00000083294	chr5	+	52556061	52584092	52556116	52583762	26	52556061,52558009,52558324,52558533,52561029,52562288,52563677,52565315,52565528,52565677,52567245,52568543,52571790,52571997,52572326,52572505,52572740,52575542,52575802,52579145,52579846,52581512,52581733,52581910,52582216,52583612,	52556167,52558237,52558441,52558710,52561198,52562423,52563841,52565436,52565587,52565779,52567361,52568721,52571913,52572146,52572402,52572646,52572858,52575697,52575966,52579298,52579944,52581637,52581823,52582111,52582318,52584092,	ENSDARG00000059711	nol6	nol6
ENSDART00000128402	chr5	+	52556061	52579917	52565755	52579917	28	52556061,52558009,52558324,52558533,52561029,52562288,52563677,52565315,52565528,52565677,52567245,52568543,52571790,52571997,52572326,52572505,52572740,52575542,52575782,52575840,52576079,52576966,52577016,52578188,52578610,52578919,52579566,52579832,	52556167,52558237,52558441,52558710,52561198,52562423,52563841,52565436,52565587,52565779,52567361,52568721,52571913,52572146,52572402,52572646,52572858,52575707,52575798,52575858,52576090,52576980,52577038,52578212,52578619,52578941,52579590,52579917,	ENSDARG00000059711	nol6	nol6
ENSDART00000074638	chr5	+	52688225	52697298	52688445	52696862	6	52688225,52688652,52688886,52693468,52693654,52696632,	52688518,52688795,52689031,52693545,52693772,52697298,	ENSDARG00000052731	ankrd31	ankrd31
ENSDART00000130660	chr5	-	52814443	52836271	52814443	52836271	39	52814443,52816642,52816859,52819423,52819628,52819941,52821759,52821999,52822164,52822935,52823010,52823132,52823617,52823890,52826991,52827173,52827379,52827617,52827853,52829518,52829921,52830186,52830378,52830502,52830791,52832338,52833116,52833406,52833903,52834094,52834395,52834597,52834782,52834945,52835344,52835593,52835766,52835973,52836193,	52814572,52816784,52816968,52819535,52819766,52820102,52821901,52822069,52822254,52822992,52823044,52823245,52823805,52823977,52827090,52827290,52827524,52827764,52828040,52829694,52830109,52830329,52830421,52830656,52830942,52832408,52833190,52833451,52833937,52834268,52834515,52834686,52834862,52835065,52835508,52835689,52835877,52836102,52836271,	ENSDARG00000032372	CCDC180	CCDC180
ENSDART00000042420	chr5	-	52814443	52836271	52814443	52836271	34	52814443,52816642,52816859,52819423,52819628,52819941,52821759,52821999,52822164,52822643,52822962,52823180,52823617,52823890,52826991,52827173,52827379,52827595,52827853,52829596,52829921,52830219,52830507,52830781,52834094,52834395,52834597,52834782,52834945,52835344,52835593,52835766,52835973,52836193,	52814572,52816784,52816968,52819535,52819766,52820102,52821901,52822069,52822254,52822655,52823044,52823245,52823805,52823977,52827090,52827290,52827556,52827764,52828040,52829673,52830109,52830287,52830629,52830897,52834268,52834515,52834686,52834862,52835065,52835508,52835689,52835877,52836102,52836271,	ENSDARG00000032372	CCDC180	CCDC180
ENSDART00000092285	chr5	+	52934994	53061299	52935137	53061299	21	52934994,52940527,52943249,52945512,52953905,52954148,52958007,52958222,52993838,52994666,52999562,53003982,53012209,53020692,53024847,53034047,53034559,53036955,53037775,53046772,53061130,	52935293,52940630,52943461,52945710,52954022,52954266,52958141,52958389,52993969,52994775,52999647,53004092,53012342,53020868,53025016,53034112,53034676,53037063,53037890,53046930,53061299,	ENSDARG00000063276	msh3	msh3
ENSDART00000130210	chr5	+	53125897	53307454	53125897	53307454	23	53125897,53131295,53134068,53136277,53144635,53144878,53147246,53147462,53177414,53178243,53184749,53188155,53197559,53206089,53209890,53218396,53218908,53221305,53222125,53232407,53247333,53286724,53307197,	53126053,53131398,53134280,53136475,53144752,53144996,53147380,53147629,53177545,53178352,53184834,53188265,53197692,53206265,53210059,53218461,53219025,53221413,53222240,53232565,53247520,53286851,53307454,	ENSDARG00000086810	msh3	msh3
ENSDART00000083350	chr5	+	53315187	53434604	53315571	53434604	27	53315187,53365585,53373197,53376068,53376254,53381940,53382372,53385738,53387613,53392113,53394636,53395135,53398807,53400368,53401959,53406670,53410012,53412715,53425009,53425277,53428549,53428783,53431042,53431678,53431856,53432081,53434511,	53315847,53365692,53373345,53376158,53376508,53382020,53382566,53385848,53387732,53392274,53394703,53395272,53398890,53400617,53402375,53406796,53410102,53412822,53425122,53425338,53428653,53428868,53431240,53431758,53431974,53432150,53434604,	ENSDARG00000002816	rasgrf2b	rasgrf2b
ENSDART00000087467	chr5	+	53709837	53742468	53709926	53742445	13	53709837,53713317,53717423,53720700,53721138,53723762,53723962,53726538,53728673,53732902,53738269,53739402,53742192,	53710048,53716891,53717519,53720934,53721161,53723884,53724097,53726685,53728821,53733036,53738384,53739579,53742468,	ENSDARG00000061379	cmya5	cmya5
ENSDART00000105795	chr5	-	53852857	53896901	53853882	53896775	8	53852857,53857314,53857495,53859333,53870785,53871693,53877711,53896499,	53854071,53857395,53857606,53859490,53870943,53871786,53877843,53896901,	ENSDARG00000018108	homer1b	homer1b
ENSDART00000115327	chr5	-	53853882	53896775	53853882	53896775	9	53853882,53855920,53857314,53857495,53859333,53870785,53871693,53877711,53896499,	53854047,53855944,53857395,53857606,53859490,53870943,53871786,53877843,53896775,	ENSDARG00000018108	homer1b	homer1b
ENSDART00000079837	chr5	-	53866879	53908785	53867487	53908530	6	53866879,53870785,53871693,53877711,53896499,53908525,	53867524,53870943,53871786,53877843,53896656,53908785,	ENSDARG00000018108	homer1b	homer1b
ENSDART00000023517	chr5	-	53867487	53896901	53867487	53896760	5	53867487,53870785,53871693,53877711,53896499,	53867524,53870943,53871786,53877843,53896901,	ENSDARG00000018108	homer1b	homer1b
ENSDART00000129056	chr5	+	54168992	54275750	54168992	54275750	5	54168992,54250436,54252208,54274676,54275719,	54170190,54251510,54252221,54275354,54275750,	ENSDARG00000091192	BX321873.2	BX321873.2
ENSDART00000097194	chr5	-	54768239	54806012	54768839	54806012	12	54768239,54771003,54771890,54773110,54776569,54776858,54779194,54786340,54790389,54794435,54803612,54805988,	54768984,54771148,54771927,54773180,54776699,54776951,54779406,54786434,54790472,54794614,54803783,54806012,	ENSDARG00000008153	serinc5	serinc5
ENSDART00000124861	chr5	-	54768929	54816828	54768929	54816701	12	54768929,54771003,54771890,54773110,54776569,54776858,54779194,54786340,54790389,54794435,54803612,54816674,	54768984,54771148,54771927,54773180,54776699,54776951,54779406,54786434,54790472,54794614,54803780,54816828,	ENSDARG00000008153	serinc5	serinc5
ENSDART00000143769	chr5	-	54773110	54817032	54773110	54816701	9	54773110,54776569,54776864,54779194,54786340,54790389,54794435,54803612,54816674,	54773180,54776699,54776951,54779406,54786434,54790472,54794614,54803780,54817032,	ENSDARG00000008153	serinc5	serinc5
ENSDART00000143276	chr5	+	54857390	54951301	54886338	54951301	4	54857390,54886168,54939797,54950790,	54857870,54886809,54943131,54951301,	ENSDARG00000093799	setbp1	setbp1
ENSDART00000121459	chr5	-	55606216	55793666	55753055	55793540	13	55606216,55752876,55757644,55757839,55760608,55760828,55763755,55763950,55764726,55765550,55767631,55788642,55793421,	55606232,55753211,55757759,55757914,55760740,55760939,55763861,55764081,55764905,55765715,55767747,55788776,55793666,	ENSDARG00000009764	srek1	srek1
ENSDART00000144087	chr5	+	55817990	55843924	55818005	55843924	17	55817990,55830825,55831087,55831347,55831546,55832504,55833398,55833775,55836655,55836930,55837248,55837465,55839875,55840195,55842545,55843386,55843715,	55818118,55830916,55831169,55831454,55831645,55832647,55833546,55833964,55836835,55837089,55837377,55837533,55840115,55840321,55842624,55843510,55843924,	ENSDARG00000033104	TMC2 (2 of 2)	TMC2 (2 of 2)
ENSDART00000073638	chr5	+	55832597	55840325	55832597	55840325	9	55832597,55833398,55833775,55836655,55836930,55837248,55837465,55839875,55840195,	55832647,55833546,55833964,55836835,55837089,55837377,55837533,55840115,55840325,	ENSDARG00000033104	TMC2 (2 of 2)	TMC2 (2 of 2)
ENSDART00000145791	chr5	-	55963741	55988458	55967733	55986153	9	55963741,55976388,55977406,55977566,55977779,55985503,55985748,55986098,55988340,	55967776,55976487,55977493,55977698,55977882,55985680,55985949,55986175,55988458,	ENSDARG00000059423	prune2	prune2
ENSDART00000147298	chr5	-	55966918	55987878	55967733	55986153	12	55966918,55967596,55967733,55976388,55977406,55977566,55977779,55985503,55985748,55986098,55987471,55987727,	55967070,55967641,55967776,55976487,55977493,55977698,55977882,55985680,55985949,55986175,55987592,55987878,	ENSDARG00000059423	prune2	prune2
ENSDART00000082577	chr5	-	55966919	55987878	55967042	55986153	12	55966919,55967596,55967737,55976388,55977406,55977566,55977779,55985503,55985748,55986098,55987471,55987727,	55967070,55967641,55967776,55976487,55977493,55977698,55977882,55985680,55985949,55986175,55987592,55987878,	ENSDARG00000059423	prune2	prune2
ENSDART00000050983	chr5	+	56473986	56499091	56474005	56499091	7	56473986,56475354,56475665,56484422,56485775,56494895,56498745,	56474091,56475524,56475732,56484527,56485992,56495185,56499091,	ENSDARG00000067695	ptar1	ptar1
ENSDART00000097499	chr5	-	56751665	56763258	56751665	56763109	7	56751665,56751886,56752074,56752329,56752921,56753997,56763086,	56751782,56751979,56752251,56752489,56753073,56754370,56763258,	ENSDARG00000089020	zgc:158260	zgc:158260
ENSDART00000135885	chr5	+	57003949	57098840	57004112	57098793	18	57003949,57006845,57007001,57007177,57009098,57009340,57017673,57025355,57025759,57060405,57060525,57060764,57078674,57079423,57083778,57085290,57095707,57098607,	57004306,57006920,57007073,57007246,57009244,57009492,57017806,57025670,57025777,57060423,57060554,57060864,57078863,57079554,57083951,57085537,57095866,57098840,	ENSDARG00000059645	ntrk2b	ntrk2b
ENSDART00000097424	chr5	-	57128940	57161353	57129465	57161164	7	57128940,57130324,57132599,57134890,57138535,57142494,57161148,	57129727,57130610,57132777,57134992,57138675,57142662,57161353,	ENSDARG00000067656	kcmf1	kcmf1
ENSDART00000014049	chr5	-	57275952	57323452	57276054	57323328	23	57275952,57282844,57283119,57285410,57285637,57285867,57288982,57293048,57296999,57299319,57299563,57299765,57302492,57303090,57304821,57305049,57305301,57305661,57308554,57308774,57308999,57309207,57323166,	57276204,57283032,57283201,57285527,57285783,57285965,57289090,57293128,57297108,57299485,57299678,57299920,57302576,57303156,57304942,57305225,57305434,57305716,57308687,57308892,57309100,57309235,57323452,	ENSDARG00000004774	wdr36	wdr36
ENSDART00000146773	chr5	-	57717805	57825372	57718976	57821446	54	57717805,57722340,57726194,57726509,57730417,57731284,57731544,57731773,57734291,57735454,57735653,57749719,57752188,57754010,57754202,57754710,57756610,57758924,57764207,57764443,57765910,57769795,57769998,57770157,57771555,57774028,57777159,57781466,57784398,57784615,57785747,57787252,57788504,57790771,57790955,57792290,57792551,57793597,57794187,57795664,57795914,57796945,57799397,57802797,57803068,57807034,57807793,57809716,57809905,57812949,57813291,57815026,57821219,57825226,	57719103,57722477,57726365,57726664,57730530,57731462,57731680,57731870,57734388,57735575,57735797,57749830,57752309,57754108,57754472,57754857,57756766,57759128,57764363,57764659,57765952,57769840,57770055,57770265,57771658,57774172,57777261,57781490,57784517,57784705,57785975,57787377,57788593,57790872,57791144,57792437,57792686,57793748,57794415,57795768,57796065,57797109,57799559,57802968,57803278,57807145,57807900,57809815,57809987,57813059,57813430,57815159,57821475,57825372,	ENSDARG00000078512	acaca	acaca
ENSDART00000083079	chr5	-	57717808	57821446	57718976	57821446	52	57717808,57722340,57726194,57726509,57730417,57731284,57731544,57731773,57734291,57735454,57735653,57749719,57752188,57754010,57754202,57754710,57756610,57758903,57764207,57764443,57765910,57769795,57769998,57770157,57771555,57774028,57781466,57784398,57784615,57785747,57787252,57788504,57790771,57790955,57792290,57792551,57793597,57794187,57795664,57795914,57796945,57799397,57802797,57803068,57807034,57807793,57809716,57809905,57812949,57813291,57815026,57821219,	57719103,57722477,57726365,57726664,57730530,57731462,57731680,57731870,57734388,57735575,57735797,57749830,57752309,57754108,57754472,57754857,57756766,57759128,57764363,57764659,57765952,57769840,57770055,57770265,57771658,57774172,57781490,57784517,57784705,57785975,57787377,57788593,57790872,57791144,57792437,57792686,57793748,57794415,57795768,57796065,57797109,57799559,57802968,57803278,57807145,57807900,57809815,57809987,57813059,57813430,57815159,57821446,	ENSDARG00000078512	acaca	acaca
ENSDART00000014028	chr5	-	58324074	58333931	58324292	58333860	6	58324074,58328049,58329436,58330339,58330913,58333376,	58324652,58328274,58329618,58330464,58331142,58333931,	ENSDARG00000021380	ppm1db	ppm1db
ENSDART00000143309	chr5	-	58419681	58611483	58419681	58611242	21	58419681,58428302,58430763,58434547,58439976,58493468,58497857,58498077,58500892,58501141,58501309,58503505,58515705,58516977,58517365,58535329,58543025,58555966,58603188,58609254,58611116,	58419795,58428494,58430897,58434689,58440110,58493583,58497980,58498308,58501058,58501209,58501424,58503691,58515917,58517155,58517552,58535503,58543153,58556138,58603333,58609512,58611483,	ENSDARG00000059669	man2a1	man2a1
ENSDART00000121500	chr5	-	58535136	58611477	58535231	58611242	6	58535136,58543025,58555966,58603188,58609254,58611116,	58535503,58543153,58556138,58603333,58609512,58611477,	ENSDARG00000059669	man2a1	man2a1
ENSDART00000074306	chr5	-	58979567	58984798	58979621	58984693	2	58979567,58984599,	58980037,58984798,	ENSDARG00000052450	hspb2	hspb2
ENSDART00000149282	chr5	-	58979567	58990471	58979621	58984693	3	58979567,58984599,58990347,	58980037,58984710,58990471,	ENSDARG00000052450	hspb2	hspb2
ENSDART00000050945	chr5	-	59235159	59247119	59235159	59247119	6	59235159,59237276,59238421,59240274,59245150,59246818,	59235511,59237379,59238499,59240319,59245308,59247119,	ENSDARG00000035169	layna	layna
ENSDART00000097160	chr5	+	59888457	59917195	59888457	59917195	14	59888457,59891162,59891409,59895656,59895924,59896133,59896321,59896482,59900069,59905588,59907122,59910646,59916987,59917178,	59888562,59891193,59891525,59895833,59896041,59896260,59896359,59896521,59900174,59905692,59907320,59910795,59917041,59917195,	ENSDARG00000067517	CCDC15	CCDC15
ENSDART00000044803	chr5	+	60018963	60070979	60019471	60070083	13	60018963,60019463,60026137,60026557,60028953,60029202,60039606,60042046,60044169,60048152,60050824,60050977,60070043,	60019072,60019520,60026172,60026659,60029062,60029291,60039780,60042188,60044303,60048317,60050867,60051092,60070979,	ENSDARG00000052387	pou2f3	pou2f3
ENSDART00000083015	chr5	+	60156222	60164937	60156301	60158922	10	60156222,60157272,60157512,60157701,60158736,60160390,60160581,60161816,60162677,60164260,	60156418,60157436,60157611,60157768,60159046,60160490,60160612,60161912,60162810,60164937,	ENSDARG00000059606	ccdc84	ccdc84
ENSDART00000130319	chr5	+	60156298	60164321	60156298	60164321	12	60156298,60157272,60157512,60157701,60158736,60158984,60159258,60160444,60160581,60161816,60162677,60164260,	60156418,60157436,60157611,60157768,60158799,60159046,60159309,60160490,60160612,60161912,60162810,60164321,	ENSDARG00000059606	ccdc84	ccdc84
ENSDART00000122413	chr5	-	60551818	60576816	60551818	60576816	17	60551818,60552646,60554766,60557636,60557789,60560165,60560623,60564338,60564603,60564833,60565286,60566738,60569466,60572882,60574157,60574331,60576644,	60551829,60552777,60554927,60557674,60557874,60560234,60560663,60564499,60564693,60564844,60565301,60566886,60569594,60573062,60574245,60574402,60576816,	ENSDARG00000089643	MCAM (3 of 3)	MCAM (3 of 3)
ENSDART00000097374	chr5	+	60976756	61084558	60976756	61084558	21	60976756,60992600,60996000,61002103,61024430,61026614,61026780,61039807,61055653,61059485,61059767,61061655,61064074,61065950,61066639,61076423,61078622,61078922,61079834,61082339,61084430,	60976821,60992657,60996114,61002165,61024563,61026696,61026915,61039899,61055753,61059639,61059832,61061768,61064267,61066088,61066784,61076596,61078760,61079058,61079955,61082398,61084558,	ENSDARG00000029372	rasa4	rasa4
ENSDART00000148727	chr5	+	61192242	61249107	61208143	61247067	27	61192242,61208139,61208354,61210478,61210758,61213558,61213948,61216114,61218656,61219361,61223152,61225181,61225324,61228352,61232301,61232438,61235006,61235310,61236616,61236875,61240310,61240404,61242206,61242363,61242671,61242795,61246998,	61192478,61208269,61208496,61210661,61210942,61213854,61214044,61216198,61218840,61219387,61223276,61225225,61225405,61228439,61232352,61232501,61235190,61235372,61236682,61237143,61240339,61240479,61242284,61242556,61242709,61242911,61249107,	ENSDARG00000022203	gtf2ird1	gtf2ird1
ENSDART00000074200	chr5	+	61208143	61249107	61208143	61247067	26	61208143,61208354,61210478,61210758,61213558,61213948,61216114,61218656,61219361,61223152,61225181,61225324,61228352,61232301,61232438,61235006,61235310,61236616,61236875,61240310,61240431,61242206,61242363,61242671,61242795,61246998,	61208269,61208496,61210661,61210942,61213854,61214044,61216198,61218840,61219387,61223276,61225225,61225405,61228439,61232352,61232501,61235190,61235372,61236682,61237143,61240339,61240479,61242284,61242556,61242709,61242911,61249107,	ENSDARG00000022203	gtf2ird1	gtf2ird1
ENSDART00000131375	chr5	-	63032704	63046798	63032704	63046705	6	63032704,63035113,63035321,63043941,63044417,63046330,	63033240,63035238,63035347,63044172,63044516,63046798,	ENSDARG00000059758	bspry	bspry
ENSDART00000128310	chr5	-	63032704	63047118	63032704	63047118	7	63032704,63035113,63035321,63043941,63044417,63046330,63047096,	63033240,63035238,63035347,63044172,63044516,63046506,63047118,	ENSDARG00000059758	bspry	bspry
ENSDART00000142744	chr5	+	63299497	63332021	63299497	63332021	11	63299497,63299871,63310412,63310778,63311030,63329885,63330570,63330856,63331164,63331679,63331869,	63299774,63300032,63310565,63310908,63311105,63329978,63330725,63331024,63331244,63331784,63332021,	ENSDARG00000059742	arhgef15	arhgef15
ENSDART00000097478	chr5	-	63539094	63571600	63539452	63571545	3	63539094,63548107,63571500,	63539568,63548276,63571600,	ENSDARG00000067677	lsmd1	lsmd1
ENSDART00000143810	chr5	-	63685822	63755966	63686530	63755966	13	63685822,63688193,63688468,63690224,63695824,63699443,63699857,63713200,63714582,63719878,63747128,63755601,63755879,	63686821,63688385,63688642,63690350,63695899,63699626,63699959,63713278,63714698,63719998,63747185,63755755,63755966,	ENSDARG00000029135	taf6	taf6
