#dm3.ensGene.name	dm3.ensGene.chrom	dm3.ensGene.strand	dm3.ensGene.txStart	dm3.ensGene.txEnd	dm3.ensGene.cdsStart	dm3.ensGene.cdsEnd	dm3.ensGene.exonCount	dm3.ensGene.exonStarts	dm3.ensGene.exonEnds	dm3.ensGene.name2	dm3.ensemblToGeneName.value	dm3.geneSymbol
FBtr0079290	chr2L	+	6562317	6564396	6562696	6564073	1	6562317,	6564396,	FBgn0263916	Ent2	Ent2
FBtr0079330	chr2L	-	6564362	6566587	6565169	6566117	1	6564362,	6566587,	FBgn0031834	CG13766	CG13766
FBtr0089641	chr2L	-	6568389	6601066	6572485	6586530	16	6568389,6572195,6574015,6574397,6575612,6575848,6576040,6576252,6576846,6577377,6577652,6578904,6579266,6580414,6586500,6600610,	6568865,6572542,6574320,6575455,6575727,6575963,6576164,6576366,6577090,6577589,6577780,6578999,6579381,6580510,6587143,6601066,	FBgn0031835	CG11319	CG11319
FBtr0079291	chr2L	+	6611022	6617117	6612565	6616513	5	6611022,6612484,6612780,6615858,6616213,	6611268,6612640,6613278,6616152,6617117,	FBgn0031836	CG11050	CG11050
FBtr0079292	chr2L	+	6611407	6617117	6612565	6616513	5	6611407,6612484,6612780,6615858,6616213,	6611611,6612640,6613278,6616152,6617117,	FBgn0031836	CG11050	CG11050
FBtr0079293	chr2L	+	6611717	6617117	6612565	6616513	5	6611717,6612484,6612780,6615858,6616213,	6611775,6612640,6613278,6616152,6617117,	FBgn0031836	CG11050	CG11050
FBtr0113026	chr2L	-	6617133	6621700	6617139	6621510	6	6617133,6617292,6617424,6617759,6618174,6621425,	6617231,6617364,6617706,6618115,6618418,6621700,	FBgn0031837	CG11320	CG11320
FBtr0112553	chr2L	+	6623122	6625359	6623122	6625108	8	6623122,6623403,6623680,6623884,6624135,6624722,6624827,6625049,	6623343,6623558,6623831,6624081,6624656,6624767,6624993,6625359,	FBgn0085374	CG34345	CG34345
FBtr0079327	chr2L	-	6625137	6632407	6625387	6632318	7	6625137,6625580,6625832,6627500,6628515,6628745,6632083,	6625511,6625769,6626762,6627603,6628690,6629068,6632407,	FBgn0051634	Oatp26F	Oatp26F
FBtr0331191	chr2L	-	6632797	6649114	6634810	6646668	8	6632797,6635652,6637977,6639396,6640356,6640734,6645971,6649029,	6635406,6637024,6639335,6640215,6640675,6640934,6646947,6649114,	FBgn0051635	CG31635	CG31635
FBtr0331187	chr2L	-	6632797	6648145	6634810	6646668	9	6632797,6635652,6637433,6637977,6639396,6640356,6640734,6645971,6647920,	6635406,6637024,6637490,6639335,6640215,6640675,6640934,6646947,6648145,	FBgn0051635	CG31635	CG31635
FBtr0331192	chr2L	-	6634548	6649114	6634810	6646668	9	6634548,6635652,6637433,6637977,6639396,6640356,6640734,6645971,6649029,	6635406,6637024,6637490,6639335,6640203,6640675,6640934,6646947,6649114,	FBgn0051635	CG31635	CG31635
FBtr0113410	chr2L	-	6634548	6648145	6634810	6646668	8	6634548,6635652,6637977,6639396,6640356,6640734,6645971,6647920,	6635406,6637024,6639335,6640203,6640675,6640934,6646947,6648145,	FBgn0051635	CG31635	CG31635
FBtr0079326	chr2L	-	6635544	6649114	6635647	6646668	7	6635544,6637977,6639396,6640356,6640734,6645971,6647421,	6637024,6639335,6640203,6640675,6640934,6646947,6649114,	FBgn0051635	CG31635	CG31635
FBtr0331188	chr2L	-	6635544	6649114	6635647	6646668	8	6635544,6637433,6637977,6639396,6640356,6640734,6645971,6648945,	6637024,6637490,6639335,6640203,6640675,6640934,6646947,6649114,	FBgn0051635	CG31635	CG31635
FBtr0331189	chr2L	-	6635544	6648145	6635647	6646668	7	6635544,6637977,6639396,6640356,6640734,6645971,6647997,	6637024,6639335,6640215,6640675,6640934,6646947,6648145,	FBgn0051635	CG31635	CG31635
FBtr0331190	chr2L	-	6635544	6648145	6635647	6646668	8	6635544,6637433,6637977,6639396,6640356,6640734,6645971,6647950,	6637024,6637490,6639335,6640215,6640675,6640934,6646947,6648145,	FBgn0051635	CG31635	CG31635
FBtr0079295	chr2L	+	6649387	6654574	6649532	6654333	7	6649387,6649786,6652007,6652496,6652752,6653434,6653594,	6649680,6651895,6652444,6652629,6653377,6653536,6654574,	FBgn0031842	Tango1	Tango1
FBtr0303224	chr2L	+	6649387	6654416	6649532	6654333	7	6649387,6649786,6652007,6652496,6652752,6653434,6653594,	6649680,6651895,6652444,6652629,6653377,6653536,6654416,	FBgn0031842	Tango1	Tango1
FBtr0079325	chr2L	-	6654759	6656321	6654896	6656233	3	6654759,6655069,6656195,	6655013,6656141,6656321,	FBgn0051633	CG31633	CG31633
FBtr0079324	chr2L	-	6656458	6657879	6656669	6657738	3	6656458,6657002,6657433,	6656933,6657375,6657879,	FBgn0051636	CG31636	CG31636
FBtr0079297	chr2L	+	6658506	6662033	6658591	6661699	3	6658506,6659378,6659827,	6659318,6659761,6662033,	FBgn0028467	CG11070	CG11070
FBtr0079323	chr2L	-	6662060	6663612	6662096	6663577	3	6662060,6663131,6663435,	6663067,6663374,6663612,	FBgn0031844	CG13771	CG13771
FBtr0333517	chr2L	-	6662060	6663612	6662901	6663577	3	6662060,6663127,6663435,	6663067,6663374,6663612,	FBgn0031844	CG13771	CG13771
FBtr0290322	chr2L	+	6663967	6674780	6664149	6674314	6	6663967,6664930,6668341,6668945,6669763,6674300,	6664587,6665791,6668887,6669690,6670513,6674780,	FBgn0000392	cup	cup
FBtr0333516	chr2L	+	6663967	6674780	6674300	6674525	6	6663967,6664930,6668341,6668945,6669763,6674300,	6664587,6665791,6668887,6669690,6670513,6674780,	FBgn0085339	CG34310	CG34310
FBtr0079322	chr2L	-	6666263	6668033	6666350	6667689	4	6666263,6667085,6667360,6667670,	6667008,6667291,6667530,6668033,	FBgn0263200	Galt	Galt
FBtr0333352	chr2L	-	6666288	6668033	6666350	6667689	4	6666288,6667085,6667360,6667670,	6667008,6667291,6667530,6668033,	FBgn0263200	Galt	Galt
FBtr0333351	chr2L	-	6671064	6673347	6671831	6673175	1	6671064,	6673347,	FBgn0028990	Spn27A	Spn27A
FBtr0079321	chr2L	-	6671778	6673347	6671831	6673175	1	6671778,	6673347,	FBgn0028990	Spn27A	Spn27A
FBtr0112506	chr2L	+	6673963	6674741	6674300	6674525	2	6673963,6674300,	6674228,6674741,	FBgn0085339	CG34310	CG34310
FBtr0079320	chr2L	-	6674681	6676635	6674799	6676550	6	6674681,6675121,6675329,6675759,6676239,6676430,	6675062,6675271,6675701,6676174,6676371,6676635,	FBgn0000351	cort	cort
FBtr0333350	chr2L	-	6674681	6676567	6674799	6676550	6	6674681,6675121,6675329,6675759,6676239,6676430,	6675062,6675271,6675701,6676174,6676371,6676567,	FBgn0000351	cort	cort
FBtr0333349	chr2L	-	6676648	6677625	6676840	6677548	1	6676648,	6677625,	FBgn0031848	CG11329	CG11329
FBtr0079319	chr2L	-	6676738	6677625	6676840	6677548	1	6676738,	6677625,	FBgn0031848	CG11329	CG11329
FBtr0300327	chr2L	-	6677834	6684364	6678146	6683948	13	6677834,6679985,6680174,6680345,6680946,6681064,6681278,6681463,6681942,6682140,6682494,6682745,6683725,	6678224,6680114,6680283,6680524,6680998,6681218,6681390,6681772,6682084,6682430,6682683,6682870,6684364,	FBgn0028703	Nhe3	Nhe3
FBtr0273247	chr2L	-	6677834	6684357	6679193	6683948	15	6677834,6678911,6679985,6680174,6680345,6680670,6680946,6681064,6681278,6681463,6681942,6682140,6682494,6682745,6683725,	6678756,6679262,6680114,6680283,6680542,6680706,6680998,6681218,6681390,6681772,6682084,6682430,6682683,6682870,6684357,	FBgn0028703	Nhe3	Nhe3
FBtr0273248	chr2L	-	6677834	6684357	6678723	6683948	13	6677834,6679985,6680174,6680345,6680946,6681064,6681278,6681463,6681942,6682140,6682494,6682745,6683725,	6678756,6680114,6680283,6680542,6680998,6681218,6681390,6681772,6682084,6682430,6682683,6682870,6684357,	FBgn0028703	Nhe3	Nhe3
FBtr0273250	chr2L	-	6677834	6684357	6678723	6683948	13	6677834,6679985,6680174,6680345,6680946,6681064,6681278,6681463,6681942,6682140,6682494,6682745,6683725,	6678756,6680114,6680283,6680524,6680998,6681218,6681390,6681772,6682084,6682430,6682683,6682870,6684357,	FBgn0028703	Nhe3	Nhe3
FBtr0333348	chr2L	-	6677834	6684357	6679064	6683948	14	6677834,6678911,6679985,6680174,6680345,6680946,6681064,6681278,6681463,6681942,6682140,6682494,6682745,6683725,	6678224,6679082,6680114,6680283,6680542,6680998,6681218,6681390,6681772,6682084,6682430,6682683,6682870,6684357,	FBgn0028703	Nhe3	Nhe3
FBtr0333347	chr2L	-	6679320	6683129	6679922	6682814	12	6679320,6680174,6680345,6680946,6681064,6681278,6681463,6681942,6682140,6682494,6682745,6682997,	6680114,6680283,6680542,6680998,6681218,6681390,6681772,6682084,6682430,6682683,6682870,6683129,	FBgn0028703	Nhe3	Nhe3
FBtr0079315	chr2L	-	6684841	6686712	6685066	6686494	2	6684841,6686562,	6686499,6686712,	FBgn0031849	CG11327	CG11327
FBtr0114489	chr2L	-	6686785	6689393	6686924	6689062	5	6686785,6687063,6687253,6688795,6689227,	6686995,6687197,6688737,6689118,6689393,	FBgn0031850	Tsp	Tsp
FBtr0079312	chr2L	-	6686818	6709080	6686924	6701834	13	6686818,6687063,6687253,6688795,6690976,6697009,6697262,6699764,6699986,6700180,6700552,6701749,6708286,	6686995,6687197,6688737,6689118,6691098,6697127,6697457,6699902,6700116,6700496,6700619,6701944,6709080,	FBgn0031850	Tsp	Tsp
FBtr0114488	chr2L	-	6686818	6708656	6686924	6701834	14	6686818,6687063,6687253,6688795,6690976,6697009,6697262,6699764,6699986,6700180,6700552,6701749,6708286,6708640,	6686995,6687197,6688737,6689118,6691098,6697127,6697457,6699902,6700116,6700496,6700619,6701944,6708578,6708656,	FBgn0031850	Tsp	Tsp
FBtr0079311	chr2L	-	6689617	6709085	6690050	6701834	11	6689617,6690976,6697009,6697262,6699764,6699986,6700180,6700552,6701749,6708286,6709052,	6690139,6691098,6697127,6697457,6699902,6700116,6700496,6700619,6701944,6708578,6709085,	FBgn0031850	Tsp	Tsp
FBtr0079313	chr2L	-	6689617	6709080	6690050	6701834	11	6689617,6690976,6697009,6697262,6699764,6699986,6700180,6700552,6701749,6708286,6709039,	6690139,6691098,6697127,6697457,6699902,6700116,6700496,6700619,6701944,6708578,6709080,	FBgn0031850	Tsp	Tsp
FBtr0079314	chr2L	-	6689617	6708656	6690050	6701834	10	6689617,6690976,6697009,6697262,6699764,6699986,6700180,6700552,6701749,6708286,	6690139,6691098,6697127,6697457,6699902,6700116,6700496,6700619,6701944,6708656,	FBgn0031850	Tsp	Tsp
FBtr0079308	chr2L	-	6711285	6716186	6712342	6714691	7	6711285,6712337,6712739,6713365,6713574,6714554,6716025,	6711742,6712675,6713228,6713465,6713847,6714767,6716186,	FBgn0025595	GRHR	GRHR
FBtr0079309	chr2L	-	6711285	6716186	6712342	6714691	7	6711285,6712739,6713365,6713574,6714554,6715168,6716025,	6712675,6713228,6713465,6713847,6714767,6715323,6716186,	FBgn0025595	GRHR	GRHR
FBtr0079310	chr2L	-	6711285	6716186	6711702	6714691	7	6711285,6712346,6712739,6713365,6713574,6714554,6716025,	6711742,6712675,6713228,6713465,6713847,6714767,6716186,	FBgn0025595	GRHR	GRHR
FBtr0332331	chr2L	-	6711285	6716186	6712342	6714691	7	6711285,6712337,6712739,6713365,6713574,6714554,6716025,	6711742,6712675,6713228,6713465,6713847,6715323,6716186,	FBgn0025595	GRHR	GRHR
FBtr0079299	chr2L	+	6717624	6719389	6717710	6719239	2	6717624,6719136,	6719074,6719389,	FBgn0031851	CG11188	CG11188
FBtr0329892	chr2L	-	6719393	6723359	6721023	6723197	7	6719393,6720996,6721187,6721517,6721649,6722141,6723192,	6720942,6721131,6721454,6721596,6722086,6722430,6723359,	FBgn0025777	homer	homer
FBtr0079307	chr2L	-	6719895	6722930	6721023	6722810	7	6719895,6720996,6721187,6721517,6721649,6722141,6722796,	6720942,6721131,6721454,6721596,6722086,6722430,6722930,	FBgn0025777	homer	homer
FBtr0333346	chr2L	-	6719895	6722930	6721023	6722810	7	6719895,6720996,6721187,6721517,6721649,6722141,6722796,	6720942,6721131,6721454,6721596,6722086,6722439,6722930,	FBgn0025777	homer	homer
FBtr0079306	chr2L	-	6720395	6723359	6721023	6723197	7	6720395,6720996,6721187,6721517,6721649,6722141,6723192,	6720942,6721131,6721454,6721596,6722086,6722430,6723359,	FBgn0025777	homer	homer
FBtr0329893	chr2L	-	6720395	6723359	6720558	6723197	7	6720395,6720996,6721187,6721517,6721649,6722141,6723192,	6720942,6721131,6721454,6721596,6722086,6722430,6723359,	FBgn0025777	homer	homer
FBtr0332330	chr2L	-	6720395	6723359	6721023	6723197	7	6720395,6720996,6721187,6721517,6721649,6722141,6723192,	6720942,6721131,6721454,6721596,6722086,6722439,6723359,	FBgn0025777	homer	homer
FBtr0329941	chr2L	+	6723902	6732766	6724847	6730688	15	6723902,6724177,6724826,6725157,6725775,6726201,6726372,6726598,6727862,6728877,6729569,6729826,6730046,6730422,6730598,	6724084,6724389,6725096,6725259,6726129,6726303,6726540,6726718,6728780,6729503,6729772,6729934,6730366,6730539,6732766,	FBgn0046704	Liprin-alpha	Liprin-alpha
FBtr0079301	chr2L	+	6723902	6731600	6724847	6730688	16	6723902,6724177,6724826,6725157,6725775,6726201,6726372,6726598,6727193,6727862,6728877,6729569,6729826,6730046,6730422,6730598,	6724084,6724393,6725096,6725259,6726129,6726303,6726540,6726718,6727322,6728780,6729503,6729772,6729934,6730366,6730539,6731600,	FBgn0046704	Liprin-alpha	Liprin-alpha
FBtr0329942	chr2L	+	6723902	6731600	6724847	6730688	16	6723902,6724177,6724826,6725157,6725775,6726201,6726372,6726598,6727193,6727862,6728877,6729569,6729826,6730046,6730422,6730598,	6724084,6724393,6725096,6725259,6726129,6726303,6726540,6726718,6727334,6728780,6729503,6729772,6729934,6730366,6730539,6731600,	FBgn0046704	Liprin-alpha	Liprin-alpha
FBtr0079300	chr2L	+	6723902	6731345	6724847	6730688	15	6723902,6724826,6725157,6725775,6726201,6726372,6726598,6727193,6727862,6728877,6729569,6729826,6730046,6730422,6730598,	6724084,6725096,6725259,6726129,6726303,6726540,6726718,6727322,6728780,6729503,6729772,6729934,6730366,6730539,6731345,	FBgn0046704	Liprin-alpha	Liprin-alpha
FBtr0329943	chr2L	+	6723902	6731345	6724847	6730727	15	6723902,6724826,6725157,6725775,6726201,6726372,6726598,6727193,6727862,6728877,6729569,6729826,6730046,6730422,6730598,	6724084,6725096,6725259,6726129,6726303,6726540,6726718,6727322,6728780,6729503,6729772,6729934,6730366,6730539,6731345,	FBgn0046704	Liprin-alpha	Liprin-alpha
FBtr0300056	chr2L	+	6732865	6736149	6733248	6735675	5	6732865,6734650,6735543,6735783,6735958,	6734578,6735459,6735730,6735900,6736149,	FBgn0031853	TTLL3B	TTLL3B
FBtr0079305	chr2L	-	6736448	6740176	6736448	6740176	4	6736448,6737584,6738089,6738795,	6737533,6738029,6738157,6740176,	FBgn0031854	TTLL3A	TTLL3A
FBtr0079303	chr2L	+	6742507	6755686	6743016	6755297	2	6742507,6753939,	6743029,6755686,	FBgn0031855	CG11221	CG11221
FBtr0079304	chr2L	-	6744655	6745609	6744698	6745542	2	6744655,6745162,	6745107,6745609,	FBgn0051910	CG31910	CG31910
FBtr0114310	chr2L	+	6744999	6745078	6745078	6745078	1	6744999,	6745078,	FBgn0086034	snoRNA:Me28S-G2743	snoRNA:Me28S-G2743
FBtr0290242	chr2L	-	6757863	6759628	6758051	6759494	1	6757863,	6759628,	FBgn0031856	CG11322	CG11322
FBtr0331218	chr2L	-	6759828	6772609	6760189	6770644	17	6759828,6760559,6760797,6761235,6761768,6762106,6766093,6766585,6767257,6768503,6768845,6769397,6769952,6770133,6770334,6770590,6772551,	6760225,6760728,6761169,6761693,6762035,6765882,6766526,6767013,6768445,6768792,6769127,6769736,6770081,6770270,6770533,6770709,6772609,	FBgn0031857	CG11321	CG11321
FBtr0331220	chr2L	-	6759828	6772609	6760189	6770644	17	6759828,6760559,6760797,6761235,6761768,6762106,6765970,6766585,6767257,6768503,6768845,6769397,6769952,6770133,6770334,6770590,6772551,	6760225,6760728,6761169,6761693,6762035,6765882,6766526,6767013,6768445,6768792,6768968,6769736,6770081,6770270,6770533,6770709,6772609,	FBgn0031857	CG11321	CG11321
FBtr0331216	chr2L	-	6759828	6770949	6760189	6770644	17	6759828,6760559,6760797,6761235,6761768,6762106,6765970,6766585,6767257,6768503,6768845,6769397,6769952,6770133,6770334,6770590,6770885,	6760225,6760728,6761169,6761693,6762035,6765882,6766526,6767013,6768445,6768792,6769127,6769736,6770081,6770270,6770533,6770709,6770949,	FBgn0031857	CG11321	CG11321
FBtr0331221	chr2L	-	6759828	6770949	6760189	6770644	17	6759828,6760559,6760797,6761235,6761768,6762106,6766093,6766585,6767257,6768503,6768845,6769397,6769952,6770133,6770334,6770590,6770885,	6760225,6760728,6761169,6761693,6762035,6765882,6766526,6767013,6768445,6768792,6768968,6769736,6770081,6770270,6770533,6770709,6770949,	FBgn0031857	CG11321	CG11321
FBtr0331219	chr2L	-	6767095	6772609	6767210	6770644	9	6767095,6768503,6768845,6769397,6769952,6770133,6770334,6770590,6772551,	6768445,6768792,6769127,6769736,6770081,6770270,6770533,6770709,6772609,	FBgn0031857	CG11321	CG11321
FBtr0331217	chr2L	-	6767095	6772538	6767210	6770644	9	6767095,6768503,6768845,6769397,6769952,6770133,6770334,6770590,6772341,	6768445,6768792,6768968,6769736,6770081,6770270,6770533,6770709,6772538,	FBgn0031857	CG11321	CG11321
FBtr0290295	chr2L	-	6767095	6770949	6767210	6770644	9	6767095,6768503,6768845,6769397,6769952,6770133,6770334,6770590,6770885,	6768445,6768792,6768968,6769736,6770081,6770270,6770533,6770709,6770949,	FBgn0031857	CG11321	CG11321
FBtr0331222	chr2L	-	6769836	6772609	6769928	6770644	5	6769836,6770133,6770334,6770590,6772551,	6770081,6770270,6770533,6770709,6772609,	FBgn0031857	CG11321	CG11321
FBtr0301972	chr2L	-	6769836	6770949	6769928	6770644	5	6769836,6770133,6770334,6770590,6770885,	6770081,6770270,6770533,6770709,6770949,	FBgn0031857	CG11321	CG11321
FBtr0079336	chr2L	+	6774040	6778444	6774692	6777733	7	6774040,6775830,6775964,6776138,6777499,6777656,6777795,	6774887,6775894,6776078,6777426,6777594,6777734,6778444,	FBgn0031858	CG17378	CG17378
FBtr0079337	chr2L	+	6775711	6778275	6775782	6777733	6	6775711,6775964,6776138,6777499,6777656,6777795,	6775894,6776078,6777426,6777594,6777734,6778275,	FBgn0031858	CG17378	CG17378
FBtr0332335	chr2L	+	6775711	6777975	6775782	6777733	6	6775711,6775964,6776138,6777499,6777656,6777798,	6775894,6776078,6777426,6777594,6777734,6777975,	FBgn0031858	CG17378	CG17378
FBtr0079384	chr2L	-	6778554	6786861	6779372	6786414	4	6778554,6779711,6780031,6786281,	6779651,6779971,6780289,6786861,	FBgn0015776	nrv1	nrv1
FBtr0332370	chr2L	-	6778823	6786861	6779372	6786414	4	6778823,6779711,6780031,6786281,	6779651,6779971,6780289,6786861,	FBgn0015776	nrv1	nrv1
FBtr0079381	chr2L	-	6789769	6798862	6790638	6796481	8	6789769,6790798,6791030,6791517,6791700,6796336,6798227,6798678,	6790742,6790967,6791323,6791637,6791841,6796835,6798516,6798862,	FBgn0015777	nrv2	nrv2
FBtr0332369	chr2L	-	6789769	6798194	6790638	6796481	7	6789769,6790798,6791030,6791517,6791700,6796336,6797754,	6790742,6790967,6791323,6791637,6791841,6796835,6798194,	FBgn0015777	nrv2	nrv2
FBtr0100382	chr2L	-	6789769	6796783	6790638	6796481	6	6789769,6790798,6791030,6791517,6791700,6796336,	6790742,6790967,6791323,6791637,6791841,6796783,	FBgn0015777	nrv2	nrv2
FBtr0079382	chr2L	-	6789769	6794599	6790638	6793369	7	6789769,6790798,6791030,6791517,6791700,6793227,6794492,	6790742,6790967,6791323,6791637,6791841,6793404,6794599,	FBgn0015777	nrv2	nrv2
FBtr0079383	chr2L	-	6789769	6794599	6790638	6793369	7	6789769,6790798,6791030,6791517,6791700,6793227,6794316,	6790742,6790967,6791323,6791637,6791841,6793404,6794599,	FBgn0015777	nrv2	nrv2
FBtr0100381	chr2L	-	6789769	6794599	6790638	6793369	7	6789769,6790798,6791030,6791517,6791700,6793227,6794492,	6790742,6790967,6791323,6791637,6791841,6793373,6794599,	FBgn0015777	nrv2	nrv2
FBtr0309811	chr2L	+	6799195	6799600	6799600	6799600	2	6799195,6799345,	6799281,6799600,	FBgn0263585	CR43610	CR43610
FBtr0079338	chr2L	+	6799743	6799816	6799816	6799816	1	6799743,	6799816,	FBgn0051631	tRNA:CR31631	tRNA:CR31631
FBtr0079379	chr2L	-	6799945	6800834	6800208	6800681	4	6799945,6800162,6800650,6800752,	6800111,6800315,6800698,6800834,	FBgn0042189	CG17376	CG17376
FBtr0079380	chr2L	-	6799945	6800834	6800100	6800681	3	6799945,6800488,6800752,	6800111,6800698,6800834,	FBgn0042189	CG17376	CG17376
FBtr0079377	chr2L	-	6801377	6802789	6801850	6802637	5	6801377,6801705,6802249,6802610,6802707,	6801650,6801852,6802547,6802654,6802789,	FBgn0031859	CG17377	CG17377
FBtr0309814	chr2L	-	6801377	6802789	6801639	6802637	4	6801377,6802039,6802610,6802707,	6801650,6802547,6802654,6802789,	FBgn0031859	CG17377	CG17377
FBtr0309815	chr2L	-	6801377	6802789	6801950	6802637	4	6801377,6801707,6802610,6802707,	6801650,6802547,6802654,6802789,	FBgn0031859	CG17377	CG17377
FBtr0079339	chr2L	+	6803010	6804372	6803051	6804258	4	6803010,6803309,6803591,6803945,	6803254,6803522,6803888,6804372,	FBgn0031860	CG11236	CG11236
FBtr0309812	chr2L	+	6803010	6804372	6803051	6804258	4	6803010,6803309,6803591,6803954,	6803254,6803522,6803888,6804372,	FBgn0031860	CG11236	CG11236
FBtr0300821	chr2L	-	6804618	6805792	6804677	6805677	4	6804618,6805245,6805431,6805597,	6805179,6805359,6805542,6805792,	FBgn0031861	CG17375	CG17375
FBtr0309813	chr2L	-	6804618	6805792	6804677	6805595	4	6804618,6805245,6805431,6805593,	6805179,6805359,6805542,6805792,	FBgn0031861	CG17375	CG17375
FBtr0079341	chr2L	+	6822316	6839005	6822599	6838158	5	6822316,6831169,6832151,6833005,6837763,	6823059,6831971,6832553,6833187,6839005,	FBgn0051632	sens-2	sens-2
FBtr0079342	chr2L	+	6852323	6853876	6852421	6853657	1	6852323,	6853876,	FBgn0017551	Rca1	Rca1
FBtr0079343	chr2L	+	6854169	6860864	6854245	6860772	4	6854169,6855526,6855849,6859624,	6855414,6855789,6859560,6860864,	FBgn0086451	l(2)k09022	l(2)k09022
FBtr0079373	chr2L	-	6860902	6870387	6861033	6864340	6	6860902,6862385,6862624,6863707,6864031,6870133,	6862314,6862558,6862879,6863816,6864352,6870387,	FBgn0031865	Nha1	Nha1
FBtr0079374	chr2L	-	6860902	6870387	6861033	6864427	7	6860902,6862385,6862624,6863707,6864031,6864418,6870133,	6862314,6862558,6862879,6863816,6864352,6864639,6870387,	FBgn0031865	Nha1	Nha1
FBtr0307033	chr2L	+	6874899	6906658	6897427	6905992	13	6874899,6897093,6901241,6902246,6902807,6903258,6903424,6903680,6903930,6904132,6904519,6904743,6904964,	6875537,6898086,6901474,6902603,6903003,6903360,6903620,6903869,6904073,6904458,6904675,6904905,6906658,	FBgn0031866	neuroligin	neuroligin
FBtr0079344	chr2L	+	6896831	6906658	6897427	6905992	13	6896831,6897093,6901241,6902246,6902807,6903258,6903424,6903680,6903930,6904132,6904519,6904743,6904964,	6896862,6898086,6901474,6902603,6903003,6903360,6903620,6903869,6904073,6904458,6904675,6904905,6906658,	FBgn0031866	neuroligin	neuroligin
FBtr0304243	chr2L	+	6902061	6902152	6902152	6902152	1	6902061,	6902152,	FBgn0262205	mir-932	mir-932
FBtr0304244	chr2L	+	6902076	6902098	6902098	6902098	1	6902076,	6902098,	FBgn0262205	mir-932	mir-932
FBtr0079372	chr2L	-	6906665	6907844	6906917	6907777	2	6906665,6907231,	6907133,6907844,	FBgn0042092	CG13773	CG13773
FBtr0079345	chr2L	+	6908082	6911423	6908165	6910892	1	6908082,	6911423,	FBgn0031868	Rat1	Rat1
FBtr0332324	chr2L	+	6908082	6911057	6908165	6910892	1	6908082,	6911057,	FBgn0031868	Rat1	Rat1
FBtr0332329	chr2L	-	6911089	6914138	6911700	6913927	5	6911089,6911948,6912183,6912944,6913425,	6911852,6912082,6912888,6913281,6914138,	FBgn0011737	wee	wee
FBtr0079371	chr2L	-	6911342	6914138	6911700	6913927	5	6911342,6911948,6912183,6912944,6913425,	6911852,6912082,6912888,6913281,6914138,	FBgn0011737	wee	wee
FBtr0332328	chr2L	-	6914299	6920210	6915042	6919942	2	6914299,6919523,	6915397,6920210,	FBgn0028554	x16	x16
FBtr0079368	chr2L	-	6914380	6920210	6915042	6919942	2	6914380,6919523,	6915400,6920210,	FBgn0028554	x16	x16
FBtr0079370	chr2L	-	6915580	6916445	6915682	6916387	1	6915580,	6916445,	FBgn0052829	CG32829	CG32829
FBtr0079369	chr2L	-	6916752	6918743	6916897	6918611	2	6916752,6917340,	6917162,6918743,	FBgn0026196	nop5	nop5
FBtr0309766	chr2L	-	6917209	6917310	6917310	6917310	1	6917209,	6917310,	FBgn0263467	snoRNA:nop5-x16-a	snoRNA:nop5-x16-a
FBtr0307032	chr2L	+	6920703	6932057	6923905	6925455	4	6920703,6922734,6923783,6924684,	6920861,6922826,6924400,6932057,	FBgn0004838	Hrb27C	Hrb27C
FBtr0079346	chr2L	+	6920703	6926806	6923905	6925455	4	6920703,6922730,6923783,6924684,	6920861,6922826,6924400,6926806,	FBgn0004838	Hrb27C	Hrb27C
FBtr0301403	chr2L	+	6920703	6926046	6923905	6925455	3	6920703,6923783,6924684,	6920861,6924400,6926046,	FBgn0004838	Hrb27C	Hrb27C
FBtr0307031	chr2L	+	6920965	6926806	6923905	6925455	4	6920965,6922730,6923783,6924684,	6921073,6922826,6924400,6926806,	FBgn0004838	Hrb27C	Hrb27C
FBtr0307030	chr2L	+	6921259	6928675	6923905	6925455	3	6921259,6923783,6924684,	6921440,6924400,6928675,	FBgn0004838	Hrb27C	Hrb27C
FBtr0079347	chr2L	+	6921259	6926046	6923905	6925455	4	6921259,6922730,6923783,6924684,	6921440,6922826,6924400,6926046,	FBgn0004838	Hrb27C	Hrb27C
FBtr0079348	chr2L	+	6921638	6932057	6923905	6925455	5	6921638,6922730,6923783,6924684,6927980,	6921798,6922826,6924400,6925564,6932057,	FBgn0004838	Hrb27C	Hrb27C
FBtr0301404	chr2L	+	6921638	6926046	6923905	6925455	4	6921638,6922730,6923783,6924684,	6921673,6922826,6924400,6926046,	FBgn0004838	Hrb27C	Hrb27C
FBtr0306284	chr2L	+	6932120	6932552	6932250	6932463	2	6932120,6932457,	6932397,6932552,	FBgn0262877	CG43232	CG43232
FBtr0079367	chr2L	-	6932544	6942814	6932684	6940918	16	6932544,6932812,6933109,6933417,6934046,6934571,6934805,6934989,6937539,6937935,6938202,6939264,6939524,6940610,6940736,6942143,	6932750,6933052,6933337,6933933,6934511,6934742,6934908,6936697,6937876,6938148,6939205,6939458,6939715,6940681,6940951,6942814,	FBgn0031869	CG18304	CG18304
FBtr0306285	chr2L	-	6932544	6942814	6932684	6940918	16	6932544,6932812,6933109,6933417,6934046,6934571,6934805,6934989,6937223,6937935,6938202,6939264,6939524,6940610,6940736,6942143,	6932750,6933052,6933337,6933933,6934511,6934742,6934908,6936697,6937314,6938148,6939205,6939458,6939733,6940681,6940951,6942814,	FBgn0031869	CG18304	CG18304
